Siderophore ID,Siderophore name,Siderophore other name,Count,Hydroxamate,Catecholate,Phenolate,Carboxylate,Carboxylate in Citrate,Alpha-Hydroxycarboxylate,Hydroxyphenyloxazoline,Hydroxyphenylthiazoline,Alpha-Aminocarboxylate,Alpha-Hydroxyimidazole,Alpha-Hydroxycarboxylate in Citrate,Diazeniumdiolate,2-Nitrosophenol,Repetition denticity,Theoretical denticity,Ligand Type,Biosynthetic Type,Canonical SMILES,monomers Name,monomers Number,coverage,missing Monomers Number,Molecular Formula,Molecular Weight,Species,Bacteria,Fungi,Plant,Animal,Actinomycetota,Cyanobacteriota,Bacillota,Pseudomonadota,Bacteroidota,Myxococcota,Ascomycota,Basidiomycota,Mucoromycota,Zoopagomycota,Streptophyta,Chordata,Phylum,Hydroxamate source,Catecholate source,Alpha-Hydroxycarboxylate source,Hydroxyphenyloxazoline source,Hydroxyphenylthiazoline source,Alpha-Hydroxyimidazole source,Diazeniumdiolate source,2-Nitrosophenol source,References,Biosynthetic Type Reference,Fe3+ Affinity Reference,logKf Fe3+,pFe3+,Redox potential,C,H,N,O,S,C/H,C/N,C/O,C/S,Contributor,Siderophore Cluster,Siderophore Group,Siderophore Index,Predicted logS,"Predicted diffusion coefficient (10^(-10) m2 s-1) in H2O, 298.15K"
34,Alcaligin,,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Hydroxamate,NIS,O=C1CCC(=O)N(O)CC[C@H](O)CNC(=O)CCC(=O)N(O)CC[C@H](O)CN1,"NOH-4OH-Put, Suc, Suc, NOH-4OH-Put",4,1,0,C16H28N4O8,404.41624,Achromobacter denitrificans; Bordetella bronchiseptica; Bordetella pertussis,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Pseudomonadota,Orn derivatives,,,,,,,,"Nishio, Takayuki, et al. ""Isolation and structure of the novel dihydroxamate siderophore alcaligin."" Journal of the American Chemical Society 110.26 (1988): 8733-8734.; Moore, Christopher H., et al. ""Identification of alcaligin as the siderophore produced by Bordetella pertussis and B. bronchiseptica."" Journal of bacteriology 177.4 (1995): 1116-1118.; Brickman, Timothy J., and Sandra K. Armstrong. ""Alcaligin siderophore production by Bordetella bronchiseptica strain RB50 is not repressed by the BvgAS virulence control system."" Journal of bacteriology 184.24 (2002): 7055-7057.; Brickman, Timothy J., and Sandra K. Armstrong. ""Bordetella AlcS transporter functions in alcaligin siderophore export and is central to inducer sensing in positive regulation of alcaligin system gene expression."" Journal of bacteriology 187.11 (2005): 3650-3661.; Brickman, Timothy J., and Sandra K. Armstrong. ""Impact of alcaligin siderophore utilization on in vivo growth of Bordetella pertussis."" Infection and immunity 75.11 (2007): 5305-5312.","Kang, Ho Young, et al. ""Identification and characterization of iron-regulated Bordetella pertussis alcaligin siderophore biosynthesis genes."" Journal of bacteriology 178.16 (1996): 4877-4884.",,,,,16,28,4,8,0,0.571428571,4,2,0,Shaohua Gu; Ruolin He,3,3,24,-1.305,4.810137802
35,"E,E-putrebactene",,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Hydroxamate,NIS,O=C1CCC(=O)N(O)C/C=C/CNC(=O)CCC(=O)N(O)C/C=C/CN1,"X0, Suc, X0, Suc",4,0.461538462,2,C16H24N4O6,368.385666,Shewanella putrefaciens,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Pseudomonadota,Orn derivatives,,,,,,,,"Soe, Cho Z., and Rachel Codd. ""Unsaturated macrocyclic dihydroxamic acid siderophores produced by Shewanella putrefaciens using precursor-directed biosynthesis."" ACS chemical biology 9.4 (2014): 945-956.",,,,,,16,24,4,6,0,0.666666667,4,2.666666667,0,Ruolin He,3,3,25,-1.851,5.004084639
32,Desferrioxamine Te3,Ferrioxamine Te3; Proferrioxamine Te3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Hydroxamate,NIS,O=C1CCC(=O)N(O)CCSCCNC(=O)CCC(=O)N(O)CCSCCNC(=O)CCC(=O)N(O)CCSCCN1,"NOH-DAT, Suc, Suc, Suc, NOH-DAT, NOH-DAT",6,1,0,C24H42N6O9S3,654.820545,Streptomyces olivaceus,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Actinomycetota,Lys derivatives,,,,,,,,"Fiedler, H-P., et al. ""Identificationof ferrioxamines by high-performance liquid chromatography and diode-array detection."" Journal of Chromatography A 513 (1990): 255-262.","Barona-Gómez, Francisco, et al. ""Identification of a Cluster of Genes that Directs Desferrioxamine Biosynthesis in Streptomyces c oelicolor M145."" Journal of the American Chemical Society 126.50 (2004): 16282-16283.; Ronan, Jade L., et al. ""Desferrioxamine biosynthesis: diverse hydroxamate assembly by substrate-tolerant acyl transferase DesC."" Philosophical Transactions of the Royal Society B: Biological Sciences 373.1748 (2018): 20170068.",,,,,24,42,6,9,3,0.571428571,4,2.666666667,8,Ruolin He,3,3,22,-3.365,3.938034375
33,Desferrioxamine Et3,Ferrioxamine Et3; Proferrioxamine Et3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Hydroxamate,NIS,O=C1CCC(=O)N(O)CCOCCNC(=O)CCC(=O)N(O)CCOCCNC(=O)CCC(=O)N(O)CCOCCN1,"NOH-Dade, Suc, Suc, NOH-Dade, NOH-Dade, Suc",6,1,0,C24H42N6O12,606.62436,Streptomyces olivaceus,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Actinomycetota,Lys derivatives,,,,,,,,"Fiedler, H-P., et al. ""Identificationof ferrioxamines by high-performance liquid chromatography and diode-array detection."" Journal of Chromatography A 513 (1990): 255-262.","Barona-Gómez, Francisco, et al. ""Identification of a Cluster of Genes that Directs Desferrioxamine Biosynthesis in Streptomyces c oelicolor M145."" Journal of the American Chemical Society 126.50 (2004): 16282-16283.; Ronan, Jade L., et al. ""Desferrioxamine biosynthesis: diverse hydroxamate assembly by substrate-tolerant acyl transferase DesC."" Philosophical Transactions of the Royal Society B: Biological Sciences 373.1748 (2018): 20170068.",,,,,24,42,6,12,0,0.571428571,4,2,0,Ruolin He,3,3,23,-1.901,4.063228887
12,Desferrioxamine Et1,Ferrioxamine Et1; Proferrioxamine Et1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Hydroxamate,NIS,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCOCCNC(=O)CCC(=O)N(O)CCCCCN1,"NOH-Cad, Suc, NOH-Dade, Suc, NOH-Cad, Suc",6,1,0,C26H46N6O10,602.678794,Streptomyces olivaceus,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Actinomycetota,Lys derivatives,,,,,,,,"Fiedler, H-P., et al. ""Identificationof ferrioxamines by high-performance liquid chromatography and diode-array detection."" Journal of Chromatography A 513 (1990): 255-262.","Barona-Gómez, Francisco, et al. ""Identification of a Cluster of Genes that Directs Desferrioxamine Biosynthesis in Streptomyces c oelicolor M145."" Journal of the American Chemical Society 126.50 (2004): 16282-16283.; Ronan, Jade L., et al. ""Desferrioxamine biosynthesis: diverse hydroxamate assembly by substrate-tolerant acyl transferase DesC."" Philosophical Transactions of the Royal Society B: Biological Sciences 373.1748 (2018): 20170068.",,,,,26,46,6,10,0,0.565217391,4.333333333,2.6,0,Ruolin He,3,3,2,-2.594,4.07412734
13,Desferrioxamine Et2,Ferrioxamine Et2; Proferrioxamine Et2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Hydroxamate,NIS,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCOCCNC(=O)CCC(=O)N(O)CCOCCN1,"NOH-Cad, Suc, Suc, NOH-Dade, Suc, NOH-Dade",6,1,0,C25H44N6O11,604.651577,Streptomyces olivaceus,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Actinomycetota,Lys derivatives,,,,,,,,"Fiedler, H-P., et al. ""Identificationof ferrioxamines by high-performance liquid chromatography and diode-array detection."" Journal of Chromatography A 513 (1990): 255-262.","Barona-Gómez, Francisco, et al. ""Identification of a Cluster of Genes that Directs Desferrioxamine Biosynthesis in Streptomyces c oelicolor M145."" Journal of the American Chemical Society 126.50 (2004): 16282-16283.; Ronan, Jade L., et al. ""Desferrioxamine biosynthesis: diverse hydroxamate assembly by substrate-tolerant acyl transferase DesC."" Philosophical Transactions of the Royal Society B: Biological Sciences 373.1748 (2018): 20170068.",,,,,25,44,6,11,0,0.568181818,4.166666667,2.272727273,0,Ruolin He,3,3,3,-2.214,4.068664979
31,Desferrioxamine Te1,Ferrioxamine Te1; Proferrioxamine Te1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Hydroxamate,NIS,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCSCCNC(=O)CCC(=O)N(O)CCCCCN1,"NOH-Cad, Suc, NOH-Cad, Suc, NOH-DAT, Suc",6,1,0,C26H46N6O9S,618.744189,Streptomyces olivaceus,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Actinomycetota,Lys derivatives,,,,,,,,"Fiedler, H-P., et al. ""Identificationof ferrioxamines by high-performance liquid chromatography and diode-array detection."" Journal of Chromatography A 513 (1990): 255-262.","Barona-Gómez, Francisco, et al. ""Identification of a Cluster of Genes that Directs Desferrioxamine Biosynthesis in Streptomyces c oelicolor M145."" Journal of the American Chemical Society 126.50 (2004): 16282-16283.; Ronan, Jade L., et al. ""Desferrioxamine biosynthesis: diverse hydroxamate assembly by substrate-tolerant acyl transferase DesC."" Philosophical Transactions of the Royal Society B: Biological Sciences 373.1748 (2018): 20170068.",,,,,26,46,6,9,1,0.565217391,4.333333333,2.888888889,26,Ruolin He,3,3,21,-3.198,4.030396027
30,Desferrioxamine Te2,Ferrioxamine Te2; Proferrioxamine Te2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Hydroxamate,NIS,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCSCCNC(=O)CCC(=O)N(O)CCSCCN1,"NOH-DAT, Suc, Suc, Suc, NOH-Cad, NOH-DAT",6,1,0,C25H44N6O9S2,636.782367,Streptomyces olivaceus,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Actinomycetota,Lys derivatives,,,,,,,,"Fiedler, H-P., et al. ""Identificationof ferrioxamines by high-performance liquid chromatography and diode-array detection."" Journal of Chromatography A 513 (1990): 255-262.","Barona-Gómez, Francisco, et al. ""Identification of a Cluster of Genes that Directs Desferrioxamine Biosynthesis in Streptomyces c oelicolor M145."" Journal of the American Chemical Society 126.50 (2004): 16282-16283.; Ronan, Jade L., et al. ""Desferrioxamine biosynthesis: diverse hydroxamate assembly by substrate-tolerant acyl transferase DesC."" Philosophical Transactions of the Royal Society B: Biological Sciences 373.1748 (2018): 20170068.",,,,,25,44,6,9,2,0.568181818,4.166666667,2.777777778,12.5,Ruolin He,3,3,20,-3.296,3.983250117
29,Desferrioxamine T8,Ferrioxamine T8; Proferrioxamine T8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Hydroxamate,NIS,O=C1CCC(=O)N(O)CCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCCNC1,"NOH-DAP, Suc, X0, Suc, NOH-Cad, Suc, NOH-Cad, Suc",8,0.821428571,1,C36H64N8O12,800.941348,Erwinia amylovora,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Pseudomonadota,Lys derivatives,,,,,,,,"Feistner, Gottfried J., Douglas C. Stahl, and Ann H. Gabrik. ""Proferrioxamine siderophores of Erwinia amylovora. A capillary liquid chromatographic/electrospray tandem mass spectrometric study."" Organic mass spectrometry 28.3 (1993): 163-175.","Barona-Gómez, Francisco, et al. ""Identification of a Cluster of Genes that Directs Desferrioxamine Biosynthesis in Streptomyces c oelicolor M145."" Journal of the American Chemical Society 126.50 (2004): 16282-16283.; Ronan, Jade L., et al. ""Desferrioxamine biosynthesis: diverse hydroxamate assembly by substrate-tolerant acyl transferase DesC."" Philosophical Transactions of the Royal Society B: Biological Sciences 373.1748 (2018): 20170068.",,,,,36,64,8,12,0,0.5625,4.5,3,0,Shaohua Gu; Ruolin He,3,3,19,-3.273,3.629043971
753,Bisucaberin 03,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Hydroxamate,NIS,O=C1CCNC(=O)CCCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CC1,"NOH-Cad, Suc, NOH-4-oxo-Cad, Pda",4,1,0,C19H32N4O7,428.480819,Streptomyces chartreusis NRRL 3882,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Actinomycetota,Lys derivatives,,,,,,,,"Senges, Christoph HR, et al. ""The secreted metabolome of Streptomyces chartreusis and implications for bacterial chemistry."" Proceedings of the National Academy of Sciences 115.10 (2018): 2490-2495.",,,,,,19,32,4,7,0,0.59375,4.75,2.714285714,0,Yanzhao Wu; Jiqi Shao; Ruolin He,3,3,26,-2.193,4.694419432
